_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,counterspeech_type,confidence,counterspeech,does_the_reply_comment_fit_the_provided_definition_of_counterspeech:confidence,check_one_or_more_types_of_counterspeech_gold,does_the_reply_comment_fit_the_provided_definition_of_counterspeech_gold,reply_to,source
2652529737,false,finalized,3,2/17/2020 06:21:43,,,no,1.0,,,"Walls do work. Why else do we build them? Just the other day I built a barricade to keep my dog in the living room. Guess what, It worked. :D",Angel Roy Was it 6 ft tall..
2652529738,false,finalized,3,2/17/2020 06:40:06,facts__contains_references_to_fact_based_evidence,0.6743,yes,0.6743,,,"Walls do work. Why else do we build them? Just the other day I built a barricade to keep my dog in the living room. Guess what, It worked. :D",Comparing people to dogs... seriously?
2652529739,false,in progress,2,2/17/2020 06:20:11,,,no,1.0,,,Comparing people to dogs... seriously?,Jeremy Harbolt dont lock ur doors then....
2652529742,false,in progress,2,2/17/2020 06:29:12,,,no,1.0,,,Comparing people to dogs... seriously?,Jeremy Harbolt how dogist!
2652529744,false,finalized,3,2/17/2020 06:43:25,,,no,0.5935,,,Angel Roy and guess what?Have built walls to keep bulls from breeding other people's cattle!!!Broke down walls..... can't stop an animal n heat .😂😂😂,If walls didnt work then why do people keep building them? Why do people build fences if they dont work? Do you live in a home? with 4 walls? I dont want my kids growing up in a world where they have to build walls around their hearts all because we couldnt build a wall on OUR border.
2652529751,false,finalized,3,2/17/2020 06:41:39,,,no,0.6866,,,"Walls do work. Why else do we build them? Just the other day I built a barricade to keep my dog in the living room. Guess what, It worked. :D",Angel Roy walls are built to keep people/animals inside.
2652529752,false,finalized,3,2/17/2020 06:37:33,,,no,1.0,,,"Walls do work. Why else do we build them? Just the other day I built a barricade to keep my dog in the living room. Guess what, It worked. :D",Hello here
2652529755,false,finalized,3,2/17/2020 06:38:26,,,no,0.6922,,,"Walls do work. Why else do we build them? Just the other day I built a barricade to keep my dog in the living room. Guess what, It worked. :D",Dummycrats only think the rich deserve walls
2652529759,false,in progress,2,2/17/2020 06:13:57,,,no,1.0,,,An illegal immigrant killed my 24 year old brother about a mile from his home. My brother was test driving a motorcycle and the illegal immigrant pulled out in front of him(the man was driving unlicensed and illegally) then left my brother to die on the side of the road. So I support the wall 100%!!,Wendi DelValle Im so sorry for your loss. Lets hope this wall gets built. Maybe it should be engraved with the names of all the lives that have been lost because we didn’t have it.
2652529761,false,in progress,2,"",,,no,1.0,,,An illegal immigrant killed my 24 year old brother about a mile from his home. My brother was test driving a motorcycle and the illegal immigrant pulled out in front of him(the man was driving unlicensed and illegally) then left my brother to die on the side of the road. So I support the wall 100%!!,Yes. There are a lot of hateful trolls.  I’d personally go build that wall especially if it would save lives
2652529762,false,finalized,3,2/17/2020 06:33:52,,,no,1.0,,,An illegal immigrant killed my 24 year old brother about a mile from his home. My brother was test driving a motorcycle and the illegal immigrant pulled out in front of him(the man was driving unlicensed and illegally) then left my brother to die on the side of the road. So I support the wall 100%!!,We need a Class Action Lawsuit to stop this invasion and forcing us to pay for it.
2652529768,false,finalized,4,2/17/2020 06:34:38,,,no,1.0,,,"I'm sorry for your loss. But then, how about white males shooting up schools and theaters? This is utter hypocrisy!","Kay Mike White LIBERAL males you mean, no but more people are murdered by illegals than white kids, and teh illegals can be dealt with only this way, I dont think there is a cure for liberalism sorry."
2652529769,false,in progress,2,"",,,no,1.0,,,An illegal immigrant killed my 24 year old brother about a mile from his home. My brother was test driving a motorcycle and the illegal immigrant pulled out in front of him(the man was driving unlicensed and illegally) then left my brother to die on the side of the road. So I support the wall 100%!!,Johntavious Williams well it wasn't! So why create a fake narrative! Troll!
